Round,EnergyConsumed,AvgResidualEnergy,TotalNetworkEnergy
486,0.0907324,0.129454,12.9454
487,0.0814763,0.128639,12.8639
488,0.0900156,0.127739,12.7739
489,0.0741559,0.126998,12.6998
490,0.0691204,0.126307,12.6307
491,0.078343,0.125523,12.5523
492,0.0970632,0.124553,12.4553
493,0.0778274,0.123774,12.3774
494,0.0830865,0.122943,12.2943
495,0.089639,0.122047,12.2047
496,0.0769934,0.121277,12.1277
497,0.0671549,0.120605,12.0605
498,0.0635423,0.11997,11.997
499,0.0626648,0.119343,11.9343
500,0.0831775,0.118512,11.8512
501,0.0800677,0.117711,11.7711
502,0.101781,0.116693,11.6693
503,0.0630019,0.116063,11.6063
504,0.0573519,0.11549,11.549
505,0.0895541,0.114594,11.4594
506,0.0818534,0.113776,11.3776
507,0.0726304,0.113049,11.3049
508,0.0636078,0.112413,11.2413
509,0.0644723,0.111768,11.1768
510,0.0604542,0.111164,11.1164
511,0.0940257,0.110224,11.0224
512,0.0859496,0.109364,10.9364
513,0.0555538,0.108809,10.8809
514,0.079043,0.108018,10.8018
515,0.119208,0.106826,10.6826
516,0.0726733,0.106099,10.6099
517,0.0714722,0.105385,10.5385
518,0.0467887,0.104917,10.4917
519,0.0776824,0.10414,10.414
520,0.066814,0.103472,10.3472
521,0.0580674,0.102891,10.2891
522,0.0727515,0.102164,10.2164
523,0.0991643,0.101172,10.1172
524,0.0767731,0.100404,10.0404
525,0.095698,0.0994473,9.94473
526,0.0426589,0.0990207,9.90207
527,0.0689343,0.0983313,9.83313
528,0.0675066,0.0976563,9.76563
529,0.0765864,0.0968904,9.68904
530,0.0813202,0.0960772,9.60772
531,0.0727696,0.0953495,9.53495
532,0.0697221,0.0946523,9.46523
533,0.0717442,0.0939348,9.39348
534,0.0712168,0.0932227,9.32227
535,0.0765092,0.0924576,9.24576
536,0.0686057,0.0917715,9.17715
537,0.0615995,0.0911555,9.11555
538,0.0863512,0.090292,9.0292
539,0.0785914,0.0895061,8.95061
540,0.0983183,0.0885229,8.85229
541,0.0736615,0.0877863,8.77863
542,0.0951788,0.0868345,8.68345
543,0.104817,0.0857863,8.57863
544,0.0672577,0.0851138,8.51138
545,0.0561087,0.0845527,8.45527
546,0.070659,0.0838461,8.38461
547,0.0758726,0.0830874,8.30874
548,0.057806,0.0825093,8.25093
549,0.0728908,0.0817804,8.17804
550,0.0736153,0.0810442,8.10442
551,0.078792,0.0802563,8.02563
552,0.0625001,0.0796313,7.96313
553,0.0580053,0.0790513,7.90513
554,0.0965989,0.0780853,7.80853
555,0.10049,0.0770804,7.70804
556,0.083132,0.0762491,7.62491
557,0.0568946,0.0756801,7.56801
558,0.0553472,0.0751266,7.51266
559,0.0814144,0.0743125,7.43125
560,0.0677915,0.0736346,7.36346
561,0.0675101,0.0729595,7.29595
562,0.0815382,0.0721441,7.21441
563,0.0859125,0.071285,7.1285
564,0.0641039,0.0706439,7.06439
565,0.0793788,0.0698501,6.98501
566,0.0814453,0.0690357,6.90357
567,0.0691988,0.0683437,6.83437
568,0.0343379,0.0680003,6.80003
569,0.0566348,0.067434,6.7434
570,0.0774385,0.0666596,6.66596
571,0.0873042,0.0657865,6.57865
572,0.0757647,0.0650289,6.50289
573,0.0812586,0.0642163,6.42163
574,0.0645615,0.0635707,6.35707
575,0.0891921,0.0626788,6.26788
576,0.0832437,0.0618463,6.18463
577,0.0684345,0.061162,6.1162
578,0.058383,0.0605782,6.05782
579,0.0568173,0.06001,6.001
580,0.033661,0.0596734,5.96734
581,0.079985,0.0588735,5.88735
582,0.0910691,0.0579628,5.79628
583,0.0795098,0.0571677,5.71677
584,0.0565551,0.0571749,5.66031
585,0.0829854,0.0563366,5.57732
586,0.0317731,0.0560157,5.54555
587,0.0612626,0.0553969,5.48429
588,0.0854916,0.0545333,5.3988
589,0.0499574,0.0540287,5.34884
590,0.0710405,0.0533111,5.2778
591,0.0672605,0.0526317,5.21054
592,0.0635775,0.0519895,5.14696
593,0.0725373,0.0512568,5.07442
594,0.0517672,0.0507339,5.02266
595,0.0851627,0.0498737,4.93749
596,0.0638102,0.0492291,4.87368
597,0.0282918,0.0489434,4.84539
598,0.103809,0.0478948,4.74158
599,0.0764701,0.0471224,4.66511
600,0.0627308,0.0464887,4.60238
601,0.0845979,0.0461005,4.51785
602,0.0733055,0.0458215,4.44468
603,0.0703849,0.0455668,4.37441
604,0.0754959,0.0447804,4.29891
605,0.0836576,0.0439089,4.21526
606,0.0585029,0.0432995,4.15675
607,0.0588275,0.0431499,4.09924
608,0.0544152,0.0430631,4.04793
609,0.0277644,0.0427678,4.02017
610,0.0702151,0.0420208,3.94995
611,0.0641263,0.0413386,3.88583
612,0.0602849,0.0406973,3.82554
613,0.0436283,0.0402331,3.78191
614,0.0544591,0.040081,3.72753
615,0.077122,0.0392517,3.65041
616,0.0773224,0.0384203,3.57309
617,0.0555388,0.0378231,3.51755
618,0.0449188,0.0373401,3.47263
619,0.06064,0.0370892,3.4122
620,0.0781899,0.0366385,3.3341
621,0.0692937,0.035877,3.26481
622,0.0766941,0.0350342,3.18811
623,0.0716585,0.0342468,3.11646
624,0.0459933,0.0337413,3.07046
625,0.0738372,0.0332985,2.99686
626,0.0445762,0.0331726,2.95236
627,0.0483038,0.0330028,2.90424
628,0.0299638,0.0326623,2.87428
629,0.0304594,0.0326878,2.84384
630,0.0486971,0.032128,2.79514
631,0.0553708,0.0322353,2.74
632,0.0771519,0.0313277,2.66285
633,0.0637411,0.0309435,2.59925
634,0.0357785,0.0305175,2.56347
635,0.0493226,0.0310719,2.51682
636,0.0467233,0.030495,2.4701
637,0.0437928,0.0299544,2.42631
638,0.0289635,0.0299684,2.39748
639,0.0298865,0.0303814,2.36975
640,0.0382114,0.0303003,2.33312
641,0.0387566,0.0301898,2.29442
642,0.0483815,0.0295532,2.24604
643,0.0384953,0.0294363,2.20772
644,0.0329819,0.0289965,2.17474
645,0.0430406,0.0292029,2.13181
646,0.0404181,0.0294624,2.09183
647,0.0262452,0.0299818,2.06874
648,0.0373515,0.0294404,2.03139
649,0.0409611,0.0297436,1.99282
650,0.034833,0.0306589,1.96217
651,0.063861,0.0301332,1.89839
652,0.0449176,0.0294202,1.85347
653,0.0323219,0.0289071,1.82115
654,0.0331302,0.0288416,1.78818
655,0.0409002,0.0291705,1.75023
656,0.0270271,0.030814,1.72559
657,0.0366667,0.0301593,1.68892
658,0.011452,0.0299548,1.67747
659,0.0237816,0.0295301,1.65369
660,0.034137,0.0289205,1.61955
661,0.038232,0.0282378,1.58132
662,0.0353393,0.028113,1.54621
663,0.03476,0.0279903,1.51148
664,0.0312096,0.0274123,1.48027
665,0.0306994,0.0268438,1.44957
666,0.0178965,0.0265124,1.43167
667,0.0248626,0.0270598,1.40711
668,0.0281087,0.0265192,1.379
669,0.0115441,0.0268179,1.36771
670,0.0151455,0.0276229,1.35352
671,0.0155911,0.0273047,1.33793
672,0.0223195,0.0268492,1.31561
673,0.0237166,0.0269196,1.29214
674,0.0356187,0.0261775,1.25652
675,0.0212692,0.0274936,1.23721
676,0.0219342,0.0276203,1.21529
677,0.0390181,0.028713,1.17723
678,0.00928616,0.029199,1.16796
679,0.00930902,0.0289663,1.15865
680,0.0102737,0.0294491,1.14852
681,0.0133081,0.0298769,1.13532
682,0.0139539,0.0295097,1.12137
683,0.0305531,0.0311758,1.09115
684,0.0194131,0.0306212,1.07174
685,0.0097494,0.0303426,1.06199
686,0.012842,0.0299757,1.04915
687,0.0177588,0.0294683,1.03139
688,0.0132493,0.0290898,1.01814
689,0.0103246,0.0287948,1.00782
690,0.0189666,0.0282529,0.98885
691,0.0243621,0.0275568,0.964488
692,0.0272525,0.0267782,0.937235
693,0.013111,0.0271819,0.924186
694,0.00945207,0.0277194,0.91474
695,0.00870956,0.0274555,0.906031
696,0.0148699,0.0270049,0.891161
697,0.0132283,0.026604,0.877933
698,0.00831615,0.0271758,0.869624
699,0.00927212,0.026886,0.860352
700,0.0142987,0.0264392,0.846054
701,0.0129753,0.0268799,0.833277
702,0.017654,0.0271907,0.815722
703,0.00724422,0.0278859,0.808691
704,0.0105272,0.0285074,0.798207
705,0.0230352,0.0276847,0.775172
706,0.0125394,0.0272369,0.762632
707,0.00319956,0.0271226,0.759433
708,0.00359967,0.0279939,0.755836
709,0.00460912,0.0300622,0.751556
710,0.0227324,0.0291529,0.728823
711,0.0125528,0.0286508,0.71627
712,0.0180539,0.0279287,0.698216
713,0.0190889,0.0282973,0.679135
714,0.021496,0.0286427,0.658783
715,0.00809833,0.029577,0.650694
716,0.0020138,0.0294855,0.64868
717,0.00296515,0.0307487,0.645723
718,0.00807203,0.0318899,0.637798
719,0.00427248,0.033377,0.634163
719,0.0120406,0.0327433,0.622122
720,0.00244958,0.0326143,0.619673
721,0.0117977,0.0319934,0.607875
722,0.0165,0.031125,0.591375
723,0.0161348,0.0320312,0.576562
724,0.011859,0.0313724,0.564703
725,0.0111145,0.0307549,0.553588
726,0.00235694,0.030624,0.551231
727,0.00222688,0.0305002,0.549004
728,0.00601152,0.0301663,0.542993
729,0.0071412,0.0315248,0.535922
730,0.00740462,0.0310893,0.528518
731,0.015807,0.0301595,0.512711
732,0.0151585,0.0292678,0.497552
733,0.00239124,0.0291271,0.495161
734,0.0110002,0.02848,0.484161
735,0.0027441,0.0283186,0.481417
736,0.0160716,0.0273732,0.465345
737,0.0113709,0.0267044,0.453974
738,0.00144245,0.0266195,0.452532
739,0.00212896,0.0264943,0.450403
740,0.00685636,0.026091,0.443546
741,0.00649765,0.0273615,0.437783
742,0.0161366,0.0281131,0.421697
743,0.00631341,0.0276923,0.415384
744,0.00162734,0.0275838,0.413756
745,0.006654,0.0271402,0.407102
746,0.00714313,0.0285824,0.400153
747,0.00159978,0.0284681,0.398553
748,0.00223652,0.0283083,0.396317
749,0.0113246,0.0296247,0.385121
750,0.00644958,0.0291285,0.378671
751,0.0111416,0.0282715,0.367529
752,0.0110138,0.0274243,0.356516
753,0.0015908,0.029584,0.355008
754,0.00988318,0.0287604,0.345125
755,0.00562948,0.0282913,0.339495
756,0.00181147,0.0281403,0.337684
757,0.00549995,0.027682,0.332184
758,0.00171509,0.0275391,0.330469
759,0.00685664,0.0294229,0.323652
760,0.00991451,0.0316653,0.316653
