PacketID,SourceNode,GenerationTime,ReceptionTime,Delay_s
273,81,1550.07,2326.31,776.238
277,82,1550.08,2326.31,776.228
281,88,1550.09,2326.31,776.218
292,11,1550.2,2326.31,776.108
227,10,1550,2326.31,776.308
235,16,1550.01,2326.31,776.298
243,34,1550.02,2326.31,776.288
250,45,1550.03,2326.31,776.278
256,54,1550.04,2326.31,776.268
262,58,1550.05,2326.31,776.258
268,63,1550.06,2326.31,776.248
274,74,1550.07,2326.31,776.238
278,92,1550.08,2326.31,776.228
282,94,1550.09,2326.31,776.218
284,97,1550.1,2326.31,776.208
293,17,1550.21,2326.31,776.098
197,20,1548.8,2326.31,777.508
198,21,1548.8,2326.31,777.508
200,24,1548.8,2326.31,777.508
201,25,1548.8,2326.31,777.508
203,29,1548.8,2326.31,777.508
206,32,1548.8,2326.31,777.508
208,40,1548.8,2326.31,777.508
116,62,774.8,2326.31,1551.51
205,31,1548.8,2326.31,777.508
202,26,1548.8,2326.31,777.508
129,5,776,2326.31,1550.31
139,12,776.01,2326.31,1550.3
145,14,776.02,2326.31,1550.29
151,49,776.03,2326.31,1550.28
157,55,776.04,2326.31,1550.27
163,71,776.05,2326.31,1550.26
189,30,776.16,2326.31,1550.15
204,30,1548.8,2326.31,777.508
228,0,1550,2326.31,776.308
236,3,1550.01,2326.31,776.298
244,8,1550.02,2326.31,776.288
251,18,1550.03,2326.31,776.278
257,19,1550.04,2326.31,776.268
263,52,1550.05,2326.31,776.258
269,57,1550.06,2326.31,776.248
275,61,1550.07,2326.31,776.238
279,72,1550.08,2326.31,776.228
283,83,1550.09,2326.31,776.218
285,86,1550.1,2326.31,776.208
286,95,1550.11,2326.31,776.198
294,47,1550.22,2326.31,776.088
212,64,1548.8,2326.31,777.508
209,49,1548.8,2326.31,777.508
229,12,1550,2326.31,776.308
237,42,1550.01,2326.31,776.298
245,71,1550.02,2326.31,776.288
288,53,1550.13,2326.31,776.178
199,22,1548.8,2326.31,777.508
207,38,1548.8,2326.31,777.508
210,55,1548.8,2326.31,777.508
132,6,776,2326.31,1550.31
185,60,776.11,2326.31,1550.2
211,60,1548.8,2326.31,777.508
133,7,776,2326.31,1550.31
186,75,776.11,2326.31,1550.2
215,75,1548.8,2326.31,777.508
297,18,2322.8,3096.85,774.05
298,19,2322.8,3096.85,774.05
303,26,2322.8,3096.85,774.05
314,52,2322.8,3096.85,774.05
315,57,2322.8,3096.85,774.05
331,0,2324,3096.85,772.85
338,3,2324.01,3096.85,772.84
345,8,2324.02,3096.85,772.83
352,9,2324.03,3096.85,772.82
358,47,2324.04,3096.85,772.81
364,67,2324.05,3096.85,772.8
369,83,2324.06,3096.85,772.79
374,93,2324.07,3096.85,772.78
386,61,2324.18,3096.85,772.67
9,51,0.8,3096.85,3096.05
114,51,774.8,3096.85,2322.05
299,21,2322.8,3096.85,774.05
301,24,2322.8,3096.85,774.05
302,25,2322.8,3096.85,774.05
115,56,774.8,3096.85,2322.05
329,20,2324,3096.85,772.85
336,29,2324.01,3096.85,772.84
343,36,2324.02,3096.85,772.83
350,70,2324.03,3096.85,772.82
356,80,2324.04,3096.85,772.81
362,85,2324.05,3096.85,772.8
385,39,2324.16,3096.85,772.69
305,32,2322.8,3096.85,774.05
296,13,2322.8,3096.85,774.05
309,43,2322.8,3096.85,774.05
311,46,2322.8,3096.85,774.05
330,10,2324,3096.85,772.85
337,33,2324.01,3096.85,772.84
344,34,2324.02,3096.85,772.83
351,41,2324.03,3096.85,772.82
357,59,2324.04,3096.85,772.81
363,66,2324.05,3096.85,772.8
368,79,2324.06,3096.85,772.79
373,89,2324.07,3096.85,772.78
378,92,2324.08,3096.85,772.77
381,99,2324.09,3096.85,772.76
389,58,2324.2,3096.85,772.65
300,22,2322.8,3096.85,774.05
295,2,2322.8,3096.85,774.05
327,4,2324,3096.85,772.85
334,6,2324.01,3096.85,772.84
341,12,2324.02,3096.85,772.83
348,14,2324.03,3096.85,772.82
354,27,2324.04,3096.85,772.81
360,30,2324.05,3096.85,772.8
366,42,2324.06,3096.85,772.79
371,49,2324.07,3096.85,772.78
376,53,2324.08,3096.85,772.77
379,55,2324.09,3096.85,772.76
382,60,2324.1,3096.85,772.75
383,84,2324.11,3096.85,772.74
390,5,2324.22,3096.85,772.63
304,28,2322.8,3096.85,774.05
306,35,2322.8,3096.85,774.05
307,38,2322.8,3096.85,774.05
391,0,3096.8,3879.67,782.872
393,3,3096.8,3879.67,782.872
397,8,3096.8,3879.67,782.872
400,18,3096.8,3879.67,782.872
401,19,3096.8,3879.67,782.872
398,14,3096.8,3879.67,782.872
394,4,3096.8,3879.67,782.872
392,2,3096.8,3879.67,782.872
395,5,3096.8,3879.67,782.872
396,6,3096.8,3879.67,782.872
399,17,3096.8,3879.67,782.872
403,21,3096.8,3879.67,782.872
405,24,3096.8,3879.67,782.872
406,25,3096.8,3879.67,782.872
410,29,3096.8,3879.67,782.872
414,39,3096.8,3879.67,782.872
308,40,2322.8,3879.67,1556.87
415,40,3096.8,3879.67,782.872
119,70,774.8,3879.67,3104.87
214,70,1548.8,3879.67,2330.87
447,13,3098,3879.67,781.672
452,37,3098.01,3879.67,781.662
457,41,3098.02,3879.67,781.652
462,46,3098.03,3879.67,781.642
467,76,3098.04,3879.67,781.632
472,79,3098.05,3879.67,781.622
477,82,3098.06,3879.67,781.612
488,43,3098.17,3879.67,781.502
446,10,3098,3879.67,781.672
451,34,3098.01,3879.67,781.662
456,58,3098.02,3879.67,781.652
461,59,3098.03,3879.67,781.642
466,65,3098.04,3879.67,781.632
471,66,3098.05,3879.67,781.622
476,89,3098.06,3879.67,781.612
479,92,3098.07,3879.67,781.602
481,97,3098.08,3879.67,781.592
483,99,3098.09,3879.67,781.582
489,33,3098.2,3879.67,781.472
404,22,3096.8,3879.67,782.872
408,27,3096.8,3879.67,782.872
409,28,3096.8,3879.67,782.872
493,22,3870.8,4649.73,778.931
491,2,3870.8,4649.73,778.931
492,4,3870.8,4649.73,778.931
494,27,3870.8,4649.73,778.931
495,28,3870.8,4649.73,778.931
412,35,3096.8,4649.73,1552.93
497,35,3870.8,4649.73,778.931
496,33,3870.8,4649.73,778.931
328,11,2324,4649.73,2325.73
335,17,2324.01,4649.73,2325.72
342,37,2324.02,4649.73,2325.71
349,56,2324.03,4649.73,2325.7
355,62,2324.04,4649.73,2325.69
361,73,2324.05,4649.73,2325.68
367,78,2324.06,4649.73,2325.67
372,81,2324.07,4649.73,2325.66
377,82,2324.08,4649.73,2325.65
380,88,2324.09,4649.73,2325.64
388,23,2324.2,4649.73,2325.53
402,20,3096.8,4649.73,1552.93
513,15,3872,4649.73,777.731
525,36,3872.01,4649.73,777.721
536,51,3872.02,4649.73,777.711
546,69,3872.03,4649.73,777.701
584,1,3872.14,4649.73,777.591
512,3,3872,4649.73,777.731
524,8,3872.01,4649.73,777.721
535,9,3872.02,4649.73,777.711
545,47,3872.03,4649.73,777.701
552,61,3872.04,4649.73,777.691
558,86,3872.05,4649.73,777.681
564,93,3872.06,4649.73,777.671
587,0,3872.17,4649.73,777.561
407,26,3096.8,4649.73,1552.93
411,30,3096.8,4649.73,1552.93
516,10,3872,4649.73,777.731
528,16,3872.01,4649.73,777.721
539,17,3872.02,4649.73,777.711
549,42,3872.03,4649.73,777.701
555,56,3872.04,4649.73,777.691
561,63,3872.05,4649.73,777.681
566,74,3872.06,4649.73,777.671
569,77,3872.07,4649.73,777.661
572,92,3872.08,4649.73,777.651
575,94,3872.09,4649.73,777.641
589,45,3872.2,4649.73,777.531
419,49,3096.8,4649.73,1552.93
517,5,3872,4649.73,777.731
529,6,3872.01,4649.73,777.721
540,12,3872.02,4649.73,777.711
550,14,3872.03,4649.73,777.701
556,30,3872.04,4649.73,777.691
562,55,3872.05,4649.73,777.681
567,60,3872.06,4649.73,777.671
570,71,3872.07,4649.73,777.661
573,75,3872.08,4649.73,777.651
588,49,3872.19,4649.73,777.541
422,53,3096.8,4649.73,1552.93
502,53,3870.8,4649.73,778.931
413,38,3096.8,4649.73,1552.93
498,38,3870.8,4649.73,778.931
310,44,2322.8,4649.73,2326.93
416,44,3096.8,4649.73,1552.93
499,44,3870.8,4649.73,778.931
312,48,2322.8,4649.73,2326.93
418,48,3096.8,4649.73,1552.93
500,48,3870.8,4649.73,778.931
313,50,2322.8,4649.73,2326.93
420,50,3096.8,4649.73,1552.93
501,50,3870.8,4649.73,778.931
514,20,3872,4649.73,777.731
526,21,3872.01,4649.73,777.721
537,25,3872.02,4649.73,777.711
547,29,3872.03,4649.73,777.701
