Instance,CHID,StartTime,Duration_s,Successful
180,51,5870.44,35.4912,Yes
181,35,5957.14,22.1958,Yes
182,38,5979.33,20.9425,Yes
183,48,6000.27,25.289,Yes
184,53,6025.56,33.3412,Yes
185,45,6058.9,28.5658,Yes
186,34,6087.47,22.8186,Yes
187,41,6110.29,37.4979,Yes
188,7,6255.47,12.1247,Yes
189,0,6267.59,17.7576,Yes
190,8,6285.35,37.3692,Yes
191,15,6322.72,26.1684,Yes
192,20,6348.89,29.6114,Yes
193,17,6378.5,6.23332,Yes
194,6,6384.73,5.76314,Yes
195,10,6390.5,28.9874,Yes
196,16,6419.48,35.0908,Yes
197,45,6454.58,37.7856,Yes
198,49,6492.36,19.9326,Yes
199,54,6512.29,9.79315,Yes
200,47,6522.09,5.40307,Yes
201,18,6527.49,34.5107,Yes
202,52,6562,37.1427,Yes
203,55,6599.14,1.01347,Yes
204,60,6600.16,37.4705,Yes
205,63,6637.63,21.5772,Yes
206,58,6659.2,18.7079,Yes
207,43,6677.91,31.9933,Yes
208,32,6709.91,28.1877,Yes
209,29,6738.09,26.5612,Yes
210,62,6764.65,28.0356,Yes
211,59,6792.69,27.4153,Yes
212,46,6820.11,28.6462,Yes
213,65,6848.75,4.86626,Yes
214,48,6853.62,27.7118,Yes
215,50,6881.33,26.5568,Yes
216,5,7014.27,33.084,Yes
217,2,7047.35,25.1559,Yes
218,6,7072.51,20.4247,Yes
219,7,7092.93,19.7606,Yes
220,3,7112.69,18.3173,Yes
221,9,7131.01,25.4175,Yes
222,19,7156.43,15.217,Yes
223,12,7171.64,17.7858,Yes
224,14,7189.43,32.2847,Yes
225,26,7221.72,23.1073,Yes
226,18,7244.82,35.8884,Yes
227,30,7280.71,14.9431,Yes
228,47,7295.65,9.71478,Yes
229,52,7305.37,37.0249,Yes
230,55,7342.39,1.01347,Yes
231,49,7343.41,36.9172,Yes
232,60,7380.32,37.8172,Yes
233,64,7418.14,29.5417,Yes
234,57,7447.68,31.3034,Yes
235,61,7478.99,26.8977,Yes
236,36,7505.88,20.4613,Yes
237,21,7526.35,25.3158,Yes
238,24,7551.66,36.2683,Yes
239,25,7587.93,37.7144,Yes
240,29,7625.64,34.4129,Yes
241,32,7660.06,26.5612,Yes
242,34,7686.62,24.1186,Yes
243,5,7791.34,28.4016,Yes
244,2,7819.74,25.1559,Yes
245,6,7844.89,20.4247,Yes
246,7,7865.32,19.7606,Yes
247,9,7885.08,27.4469,Yes
248,1,7912.53,32.1671,Yes
249,15,7944.69,37.5532,Yes
250,29,7982.25,20.3634,Yes
251,36,8002.61,30.726,Yes
252,31,8033.34,24.6889,Yes
253,12,8058.03,21.1756,Yes
254,14,8079.2,32.2847,Yes
255,26,8111.49,23.1073,Yes
256,30,8134.59,29.6191,Yes
257,16,8164.21,15.383,Yes
258,47,8206.58,23.4931,Yes
259,54,8230.07,5.40307,Yes
260,42,8235.48,28.3136,Yes
261,35,8263.79,22.4056,Yes
262,45,8286.19,13.9017,Yes
263,41,8300.1,15.6651,Yes
264,13,8315.76,34.9598,Yes
265,43,8350.72,36.8657,Yes
266,58,8387.59,31.9933,Yes
267,48,8419.58,18.1429,Yes
268,53,8437.72,33.3412,Yes
269,0,8574.26,32.5574,Yes
270,1,8606.82,21.8373,Yes
271,15,8628.65,37.5532,Yes
272,20,8666.21,29.6114,Yes
273,11,8695.82,30.6378,Yes
274,7,8726.46,8.60552,Yes
275,14,8735.06,15.5907,Yes
276,4,8750.65,20.1518,Yes
277,2,8770.8,33.271,Yes
278,22,8804.07,21.082,Yes
279,27,8825.16,18.9968,Yes
280,28,8844.15,28.4676,Yes
281,35,8872.62,34.024,Yes
282,17,8906.64,3.80105,Yes
283,23,8910.45,34.402,Yes
284,25,8944.85,7.88649,Yes
285,21,8952.73,37.1126,Yes
286,24,8989.85,36.2683,Yes
287,29,9026.12,32.5616,Yes
288,32,9058.68,26.5612,Yes
289,39,9085.24,23.5905,Yes
290,31,9108.83,18.2545,Yes
291,19,9127.08,28.7631,Yes
292,18,9155.85,33.8656,Yes
293,26,9189.71,35.8884,Yes
294,30,9225.6,29.6191,Yes
295,5,9337.79,33.6283,Yes
296,22,9371.42,5.19127,Yes
297,27,9376.61,18.9968,Yes
298,28,9395.61,28.4676,Yes
299,35,9424.08,34.024,Yes
300,38,9458.1,20.9425,Yes
301,44,9479.04,36.7567,Yes
302,48,9515.8,32.8131,Yes
303,42,9548.61,19.2629,Yes
304,30,9567.88,29.8509,Yes
305,31,9597.73,18.3045,Yes
306,8,9616.03,27.1345,Yes
307,1,9643.17,19.7884,Yes
308,15,9662.95,37.5532,Yes
309,20,9700.51,29.6114,Yes
310,32,9730.12,16.32,Yes
311,40,9746.44,28.4555,Yes
312,36,9774.89,19.335,Yes
313,51,9794.23,35.4912,Yes
314,52,9844.2,33.0929,Yes
315,55,9877.29,1.01347,Yes
316,49,9878.31,36.9172,Yes
317,45,9915.22,19.9326,Yes
318,41,9935.16,15.6651,Yes
319,46,9950.82,27.7819,Yes
320,59,9978.6,28.6462,Yes
321,62,10007.2,27.4153,Yes
322,6,10114.4,27.5669,Yes
323,2,10142,20.4247,Yes
324,12,10162.4,5.16721,Yes
325,19,10167.6,17.7858,Yes
326,0,10185.3,21.9222,Yes
327,3,10207.3,36.1523,Yes
328,8,10243.4,36.1809,Yes
329,51,10279.6,25.2873,Yes
330,39,10304.9,23.0263,Yes
331,11,10327.9,36.02,Yes
332,13,10363.9,14.0138,Yes
333,23,10377.9,16.1433,Yes
334,32,10394.1,24.9032,Yes
335,37,10419,35.8694,Yes
336,33,10454.9,8.22059,Yes
337,43,10463.1,27.8671,Yes
338,46,10491,33.7277,Yes
339,65,10524.7,4.86626,Yes
340,48,10529.5,27.7118,Yes
341,38,10557.3,25.289,Yes
342,50,10582.5,37.6044,Yes
343,57,10661.4,34.8445,Yes
344,61,10696.2,26.8977,Yes
345,56,10756.1,11.6709,Yes
346,62,10767.7,33.8787,Yes
347,0,10902.2,10.3807,Yes
348,7,10912.6,17.7576,Yes
349,9,10930.4,27.4469,Yes
350,15,10957.8,34.921,Yes
351,24,10992.7,31.4733,Yes
352,40,11024.2,29.9054,Yes
353,70,11054.1,34.9556,Yes
354,17,11089.1,11.3622,Yes
355,10,11100.4,33.2578,Yes
356,22,11133.7,28.9932,Yes
357,27,11162.7,18.9968,Yes
358,14,11181.7,27.4607,Yes
359,30,11209.1,36.7941,Yes
360,31,11245.9,18.3045,Yes
361,49,11264.2,19.3811,Yes
362,54,11283.6,9.79315,Yes
363,65,11321,22.8363,Yes
364,35,11343.8,29.3126,Yes
365,38,11373.2,20.9425,Yes
366,48,11394.1,25.289,Yes
367,66,11419.4,4.52353,Yes
368,68,11423.9,22.9937,Yes
369,73,11446.9,6.38608,Yes
370,76,11453.3,35.939,Yes
371,79,11489.2,21.9203,Yes
372,87,11511.1,27.1416,Yes
373,89,11538.3,14.916,Yes
374,91,11553.2,19.0559,Yes
375,11,11659.2,36.3276,Yes
376,10,11695.5,16.867,Yes
377,4,11712.4,25.2341,Yes
378,2,11737.6,33.271,Yes
379,6,11770.9,20.4247,Yes
380,14,11791.3,31.1693,Yes
381,27,11822.5,27.4607,Yes
382,22,11849.9,18.9968,Yes
383,28,11868.9,34.9443,Yes
384,35,11903.9,34.024,Yes
385,33,11937.9,30.5634,Yes
386,34,11968.5,33.1946,Yes
387,32,12001.7,24.1186,Yes
388,40,12025.8,28.4555,Yes
389,24,12054.2,29.9054,Yes
390,15,12084.1,31.4733,Yes
391,36,12115.6,35.5711,Yes
392,51,12151.2,35.4912,Yes
393,61,12186.7,26.9544,Yes
394,18,12213.6,26.2382,Yes
395,52,12239.9,37.1427,Yes
396,55,12277,1.01347,Yes
397,53,12278,16.5996,Yes
398,38,12294.6,11.2348,Yes
399,44,12305.9,36.7567,Yes
400,10,12449.4,31.2096,Yes
401,16,12480.7,35.0908,Yes
402,17,12515.7,35.0947,Yes
403,13,12550.8,3.70433,Yes
404,23,12554.5,16.1433,Yes
405,32,12570.7,24.9032,Yes
406,34,12595.6,24.1186,Yes
407,33,12619.7,33.1946,Yes
408,0,12693.9,31.2118,Yes
409,1,12725.2,21.8373,Yes
410,51,12747,37.6681,Yes
411,41,12813,36.9562,Yes
412,43,12849.9,36.9233,Yes
413,46,12886.8,33.7277,Yes
414,58,12920.6,12.1444,Yes
415,45,12932.7,28.3702,Yes
416,49,12961.1,19.9326,Yes
417,27,12981,26.8704,Yes
418,28,13007.9,28.4676,Yes
419,48,13036.4,35.5409,Yes
420,50,13071.9,26.5568,Yes
421,53,13098.5,19.2079,Yes
422,22,13218.6,14.5988,Yes
423,2,13233.2,21.082,Yes
424,4,13254.3,33.271,Yes
425,5,13287.6,33.9319,Yes
426,6,13321.5,36.7368,Yes
427,7,13358.2,19.7606,Yes
428,0,13378,17.7576,Yes
429,1,13395.8,21.8373,Yes
430,8,13417.6,19.7884,Yes
431,3,13437.4,36.1809,Yes
432,9,13473.6,25.4175,Yes
433,11,13499,13.7444,Yes
434,10,13512.7,16.867,Yes
435,12,13529.6,28.4245,Yes
436,14,13558,32.2847,Yes
437,27,13590.3,27.4607,Yes
438,28,13617.8,28.4676,Yes
439,35,13646.2,34.024,Yes
440,16,13680.3,18.4977,Yes
441,30,13698.8,15.383,Yes
442,18,13714.1,14.9431,Yes
443,47,13729.1,34.5107,Yes
444,15,13763.6,4.15374,Yes
445,25,13767.7,29.398,Yes
446,39,13797.1,28.4453,Yes
447,32,13825.6,23.5905,Yes
448,34,13849.2,24.1186,Yes
449,33,13873.3,33.1946,Yes
450,11,13994.7,32.8779,Yes
451,16,14027.6,25.989,Yes
452,22,14053.6,1.65693,Yes
453,27,14055.3,18.9968,Yes
454,14,14074.3,27.4607,Yes
455,42,14101.7,26.8375,Yes
456,48,14128.6,19.2629,Yes
457,38,14147.8,25.289,Yes
458,44,14173.1,36.7567,Yes
459,50,14209.9,36.9755,Yes
460,53,14246.8,19.2079,Yes
461,49,14266,27.2899,Yes
462,54,14293.3,9.79315,Yes
463,23,14303.1,31.491,Yes
464,32,14334.6,24.9032,Yes
465,37,14359.5,35.8694,Yes
466,41,14395.4,35.1247,Yes
467,43,14430.5,36.9233,Yes
468,46,14467.4,33.7277,Yes
469,58,14501.2,12.1444,Yes
470,56,14513.3,13.8004,Yes
471,51,14527.1,20.28,Yes
472,0,14547.4,26.2408,Yes
473,3,14573.6,36.1523,Yes
474,47,14609.8,36.6916,Yes
475,52,14646.5,37.0249,Yes
476,10,14773.2,24.6696,Yes
477,4,14797.8,25.2341,Yes
478,12,14823.1,31.2294,Yes
479,7,14854.3,26.9696,Yes
480,3,14881.3,18.3173,Yes
481,9,14899.6,25.4175,Yes
482,1,14925,32.1671,Yes
483,21,14957.2,25.5998,Yes
484,70,14982.8,26.6498,Yes
485,34,15009.4,18.9823,Yes
486,37,15028.4,32.9199,Yes
487,46,15061.3,19.5695,Yes
488,59,15080.9,28.6462,Yes
489,62,15109.5,27.4153,Yes
490,63,15137,25.1142,Yes
491,30,15162.1,20.3355,Yes
492,14,15182.4,36.7941,Yes
493,26,15219.2,23.1073,Yes
494,18,15242.3,35.8884,Yes
495,61,15298,35.0406,Yes
496,57,15333.1,26.8977,Yes
497,64,15360,31.3034,Yes
498,49,15391.3,28.1983,Yes
499,60,15419.5,37.8172,Yes
500,2,15553.2,34.9345,Yes
501,12,15588.1,5.16721,Yes
502,7,15593.3,26.9696,Yes
503,8,15620.3,26.5684,Yes
504,1,15646.8,19.7884,Yes
505,9,15666.6,32.1671,Yes
506,19,15698.8,15.217,Yes
507,18,15714,33.8656,Yes
508,26,15747.9,35.8884,Yes
509,31,15783.8,7.7262,Yes
510,17,15791.5,25.8588,Yes
511,20,15817.4,6.23332,Yes
512,21,15823.6,32.9032,Yes
513,24,15856.5,36.2683,Yes
514,25,15892.8,37.7144,Yes
515,29,15930.5,34.4129,Yes
516,32,15964.9,26.5612,Yes
517,39,15991.4,23.5905,Yes
518,40,16015,29.2456,Yes
519,70,16044.3,34.9556,Yes
520,56,16079.2,17.3427,Yes
521,42,16096.6,17.1621,Yes
522,22,16113.7,13.3879,Yes
523,35,16127.1,37.6057,Yes
524,38,16164.7,20.9425,Yes
525,48,16185.7,25.289,Yes
526,7,16334.8,12.5959,Yes
527,0,16347.4,17.7576,Yes
528,15,16365.2,26.9621,Yes
529,24,16392.1,31.4733,Yes
530,36,16423.6,31.7998,Yes
531,40,16455.4,19.335,Yes
532,32,16474.7,28.4555,Yes
533,13,16503.2,32.2942,Yes
534,33,16535.5,15.4397,Yes
535,22,16550.9,29.0856,Yes
536,2,16580,21.082,Yes
537,27,16601.1,34.8334,Yes
538,28,16635.9,28.4676,Yes
539,35,16664.4,34.024,Yes
540,38,16698.4,20.9425,Yes
541,44,16719.3,36.7567,Yes
542,48,16756.1,32.8131,Yes
543,50,16788.9,26.5568,Yes
544,19,16839.1,27.0889,Yes
545,18,16866.2,33.8656,Yes
546,26,16900,35.8884,Yes
547,30,16935.9,29.6191,Yes
548,52,16965.6,17.4044,Yes
549,9,17076.1,6.12107,Yes
550,0,17082.2,32.5974,Yes
551,1,17114.8,21.8373,Yes
552,8,17136.7,19.7884,Yes
553,3,17156.4,36.1809,Yes
554,15,17192.6,3.30804,Yes
