Round,PacketsGenerated,PacketsReceived,PDR
550,99,96,0.969697
551,99,59,0.59596
552,99,71,0.717172
553,99,83,0.838384
554,97,75,0.773196
555,97,79,0.814433
556,100,41,0.41
557,99,68,0.686869
558,99,72,0.727273
559,99,67,0.676768
560,99,82,0.828283
561,99,65,0.656566
562,98,78,0.795918
563,99,49,0.494949
564,98,81,0.826531
565,99,78,0.787879
566,98,62,0.632653
567,100,70,0.7
568,100,67,0.67
569,100,69,0.69
570,99,83,0.838384
571,100,63,0.63
572,99,83,0.838384
573,100,71,0.71
574,100,53,0.53
575,99,66,0.666667
576,99,53,0.535354
577,99,58,0.585859
578,100,72,0.72
579,100,54,0.54
580,99,62,0.626263
581,97,57,0.587629
582,97,78,0.804124
583,99,65,0.656566
584,98,60,0.612245
585,99,44,0.444444
586,97,56,0.57732
587,96,55,0.572917
588,99,76,0.767677
589,99,43,0.434343
590,97,71,0.731959
591,97,64,0.659794
592,99,44,0.444444
593,99,35,0.353535
594,97,46,0.474227
595,99,60,0.606061
596,99,64,0.646465
597,94,80,0.851064
598,97,76,0.783505
599,99,60,0.606061
600,97,87,0.896907
601,99,72,0.727273
602,97,53,0.546392
603,96,56,0.583333
604,94,53,0.56383
605,95,51,0.536842
606,95,62,0.652632
607,95,36,0.378947
608,94,47,0.5
609,93,72,0.774194
610,94,70,0.744681
611,93,55,0.591398
612,94,36,0.382979
613,94,66,0.702128
614,93,40,0.430108
615,92,61,0.663043
616,92,45,0.48913
617,92,64,0.695652
618,92,67,0.728261
619,89,69,0.775281
620,91,67,0.736264
621,90,45,0.5
622,91,42,0.461538
623,90,49,0.544444
624,88,42,0.477273
625,90,51,0.566667
626,89,39,0.438202
627,88,37,0.420455
628,88,46,0.522727
629,86,60,0.697674
630,87,67,0.770115
631,84,40,0.47619
632,84,45,0.535714
633,84,32,0.380952
634,84,46,0.547619
635,82,48,0.585366
636,81,43,0.530864
637,81,36,0.444444
638,81,44,0.54321
639,78,54,0.692308
640,77,61,0.792208
641,77,46,0.597403
642,76,63,0.828947
643,76,55,0.723684
644,74,49,0.662162
645,74,51,0.689189
646,73,54,0.739726
647,69,50,0.724638
648,68,35,0.514706
649,67,40,0.597015
650,62,42,0.677419
651,61,50,0.819672
652,62,48,0.774194
653,63,48,0.761905
654,63,39,0.619048
655,60,35,0.583333
656,58,41,0.706897
657,56,37,0.660714
658,56,34,0.607143
659,56,36,0.642857
660,55,44,0.8
661,55,36,0.654545
662,53,40,0.754717
663,54,42,0.777778
664,53,41,0.773585
665,54,44,0.814815
666,54,39,0.722222
667,54,34,0.62963
668,52,38,0.730769
669,51,43,0.843137
670,49,41,0.836735
671,49,43,0.877551
672,49,46,0.938776
673,47,42,0.893617
674,48,41,0.854167
675,47,41,0.87234
676,45,40,0.888889
677,42,35,0.833333
678,40,34,0.85
679,40,35,0.875
680,39,35,0.897436
681,37,34,0.918919
682,38,37,0.973684
683,36,31,0.861111
684,35,33,0.942857
685,35,34,0.971429
686,33,32,0.969697
687,35,34,0.971429
688,35,34,0.971429
689,34,34,1
690,35,35,1
691,33,33,1
692,34,34,1
693,35,34,0.971429
694,32,31,0.96875
695,33,32,0.969697
696,33,31,0.939394
697,33,31,0.939394
698,32,30,0.9375
699,32,31,0.96875
700,32,32,1
701,31,31,1
702,30,30,1
703,30,30,1
704,29,29,1
705,28,28,1
706,28,28,1
707,28,28,1
708,27,27,1
709,27,27,1
710,25,25,1
711,24,24,1
712,25,25,1
713,24,24,1
714,23,23,1
715,23,23,1
716,22,22,1
717,22,22,1
718,20,16,0.8
719,19,19,1
720,18,18,1
721,18,18,1
722,19,19,1
723,18,18,1
724,17,17,1
725,18,18,1
726,18,18,1
727,18,18,1
728,18,18,1
729,17,17,1
730,16,16,1
731,15,15,1
732,17,17,1
733,17,17,1
734,17,17,1
735,16,16,1
736,17,17,1
737,17,17,1
738,17,17,1
739,17,17,1
740,16,16,1
741,15,15,1
742,16,16,1
743,15,15,1
744,15,15,1
745,15,15,1
746,15,15,1
747,14,14,1
748,14,14,1
749,13,13,1
750,13,13,1
751,13,13,1
752,13,13,1
753,12,12,1
754,11,11,1
755,12,12,1
756,12,12,1
757,12,12,1
758,12,12,1
759,12,12,1
760,10,10,1
761,9,9,1
762,10,10,1
763,10,10,1
764,10,10,1
765,10,10,1
766,10,10,1
767,10,10,1
768,10,10,1
769,10,10,1
770,10,10,1
771,10,10,1
772,10,10,1
773,10,10,1
774,9,9,1
775,9,9,1
776,9,9,1
777,9,9,1
778,8,8,1
779,8,8,1
780,7,7,1
781,8,8,1
782,7,7,1
783,8,7,0.875
784,7,7,1
785,6,6,1
786,7,7,1
787,7,7,1
788,7,7,1
789,6,6,1
790,7,7,1
791,7,7,1
792,7,7,1
793,7,7,1
794,6,6,1
795,7,7,1
796,6,6,1
797,7,7,1
798,6,6,1
799,7,7,1
800,7,7,1
801,7,7,1
802,7,7,1
803,7,7,1
804,4,4,1
805,6,6,1
806,7,7,1
807,7,7,1
808,7,7,1
809,7,7,1
810,7,7,1
811,6,6,1
812,7,7,1
813,7,7,1
814,7,7,1
815,7,7,1
816,7,7,1
817,7,7,1
818,7,7,1
819,7,7,1
820,6,6,1
821,6,6,1
822,6,6,1
823,6,6,1
824,5,5,1
825,6,6,1
826,3,3,1
827,4,4,1
828,4,4,1
829,4,4,1
830,4,4,1
831,4,4,1
832,4,4,1
833,4,4,1
834,4,4,1
835,4,4,1
836,4,4,1
837,4,4,1
838,3,3,1
839,4,4,1
840,4,4,1
841,4,4,1
842,4,4,1
843,4,4,1
844,4,4,1
845,4,4,1
846,4,4,1
847,4,4,1
848,4,4,1
849,4,4,1
850,4,4,1
851,4,4,1
852,4,4,1
853,4,4,1
854,4,4,1
855,4,4,1
856,3,3,1
857,4,4,1
858,4,4,1
859,4,4,1
860,4,4,1
861,4,4,1
862,4,4,1
863,3,3,1
864,3,3,1
865,3,3,1
866,3,3,1
867,3,3,1
868,3,3,1
869,3,3,1
870,3,3,1
871,3,3,1
872,3,3,1
873,3,3,1
874,3,3,1
875,3,3,1
876,3,3,1
877,3,3,1
878,3,3,1
879,3,3,1
880,2,2,1
881,1,1,1
882,1,1,1
883,1,1,1
884,1,1,1
885,1,1,1
886,1,1,1
887,1,1,1
888,0,0,0
